ID,Title,Year,Venue,PrimaryCategory,SecondaryTags,Dataset,Modalities,Tasks,Architecture,Fusion,EvaluationProtocol,DOI,URL,PDF,Note,VerificationStatus,Relevance
P0012,EEG-based Emotional Video Classification via Learning Connectivity Structure,2019,arXiv:1905.11678 / IEEE T-AC,C — Unimodal Emotion Recognition,[EEG] [UNIMODAL] [GNN] [GRAPH_CONNECTIVITY] [SEED] [SUBJECT_DEPENDENT] [SUBJECT_INDEPENDENT] [LOSO] [CLASSIFICATION],SEED,EEG (62 channels DE features),3-Class Discrete Emotion,Dynamic Graph Convolutional Neural Network (DGCNN),Dynamic Adjacency Matrix Learning,Subject-Dependent & Subject-Independent (LOSO),10.48550/arXiv.1905.11678,https://arxiv.org/abs/1905.11678v4,literature/01_verified/P0012__eeg_emotional_video_classification_learning_connectivity_2019.pdf,literature/03_notes/P0012.md,VERIFIED,"GNN, Connectivity learning, Spatial topology"
P0013,Convolutional Neural Network Approach for EEG-based Emotion Recognition using Brain Connectivity and its Spatial Information,2018,IEEE EMBC / arXiv:1809.04208,C — Unimodal Emotion Recognition,[EEG] [UNIMODAL] [CNN] [CONNECTIVITY] [PLV] [DEAP] [SUBJECT_DEPENDENT] [CLASSIFICATION],DEAP,EEG (32 channels),Binary Valence and Arousal,Phase Locking Value (PLV) + 2D CNN,Multi-band Connectivity Tensor Stacking,Subject-Dependent 10-Fold CV,10.48550/arXiv.1809.04208,https://arxiv.org/abs/1809.04208v1,literature/01_verified/P0013__cnn_eeg_emotion_brain_connectivity_spatial_2018.pdf,literature/03_notes/P0013.md,VERIFIED,"Phase synchronization, Functional connectivity, Spatial CNN"
P0014,Multi-modal Approach for Affective Computing,2018,arXiv:1804.09452 / IEEE T-AC,D — Multimodal Emotion Recognition,[EEG] [ECG] [GSR] [EDA] [MULTIMODAL] [FACIAL_VIDEO] [DEAP] [AMIGOS] [EARLY_FUSION] [LATE_FUSION] [CLASSIFICATION],"DEAP, AMIGOS","EEG, ECG, GSR/EDA, Facial Video",Binary Valence and Arousal,Multi-Stream VGG-16 + Biosignal Dense Encoder + ELM,Late Decision-Level ELM / SVM Fusion,Subject-Dependent 10-Fold CV,10.48550/arXiv.1804.09452,https://arxiv.org/abs/1804.09452v2,literature/01_verified/P0014__multimodal_approach_affective_computing_2018.pdf,literature/03_notes/P0014.md,VERIFIED,"Multimodal, Multi-branch, Biosignal-Video integration, Fusion"
P0015,Multimodal Classification of Stressful Environments in Visually Impaired Mobility Using EEG and Peripheral Biosignals,2018,IEEE EMBC / arXiv:1811.10027,D — Multimodal Emotion Recognition,[EEG] [ECG] [GSR] [EDA] [MULTIMODAL] [WEARABLE] [STRESS] [SUBJECT_INDEPENDENT] [LOSO] [CLASSIFICATION],Custom Outdoor Mobility Dataset,"EEG (14 ch), ECG, GSR/EDA",3-Class Environmental Stress Detection,Multi-Branch Feature Extractor + HMM & SVM,Early Feature Concatenation & Late HMM Fusion,Leave-One-Subject-Out (LOSO),10.48550/arXiv.1811.10027,https://arxiv.org/abs/1811.10027v1,literature/01_verified/P0015__multimodal_classification_stressful_environments_eeg_peripheral_2018.pdf,literature/03_notes/P0015.md,VERIFIED,"Wearable multimodal, Autonomous stress, LOSO validation"
P0016,EEG-based Inter-Subject Correlation Schemes in a Stimuli-Shared Framework: Interplay with Valence and Arousal,2018,IEEE SPM / arXiv:1809.08273,H — Generalization / Domain Adaptation,[EEG] [INTER_SUBJECT_CORRELATION] [GENERALIZATION] [DEAP] [MAHNOB_HCI] [CROSS_SUBJECT] [REGRESSION],"DEAP, MAHNOB-HCI",EEG (32 channels),Valence & Arousal Neural Synchrony Correlation,Correlated Component Analysis (CorrCA),Inter-Subject Covariance Maximization,LOSO & Cross-Subject Correlation Analysis,10.48550/arXiv.1809.08273,https://arxiv.org/abs/1809.08273v1,literature/01_verified/P0016__eeg_inter_subject_correlation_stimuli_shared_valence_arousal_2018.pdf,literature/03_notes/P0016.md,VERIFIED,"Inter-subject variability, Neural synchrony, Generalization"
P0017,Unsupervised Learning in Reservoir Computing for EEG-based Emotion Recognition,2018,arXiv:1811.07516 / IEEE T-NNLS,K — Self-Supervised / Contrastive Learning,[EEG] [RESERVOIR_COMPUTING] [UNSUPERVISED] [ECHO_STATE_NETWORK] [DEAP] [SUBJECT_DEPENDENT] [CLASSIFICATION],DEAP,EEG (32 channels raw waveforms),Binary Valence and Arousal,Deep Echo State Network (DeepESN) with Intrinsic Plasticity,Nonlinear High-Dimensional Dynamical State Mapping,Subject-Dependent 10-Fold CV,10.48550/arXiv.1811.07516,https://arxiv.org/abs/1811.07516v2,literature/01_verified/P0017__unsupervised_reservoir_computing_eeg_emotion_recognition_2018.pdf,literature/03_notes/P0017.md,VERIFIED,"Unsupervised dynamics, Lightweight recurrent models, Sequence learning"
P0018,Fusion of EEG and Musical Features in Continuous Music-emotion Recognition,2016,arXiv:1611.10120 / IEEE T-MM,D — Multimodal Emotion Recognition,[EEG] [MULTIMODAL] [AUDIO_MUSIC] [REGRESSION] [CONTINUOUS_EMOTION] [DEAP] [INTERMEDIATE_FUSION] [LATE_FUSION],DEAP,"EEG (32 channels), Acoustic Music Features",Continuous Valence & Arousal Time-Series Regression,Multi-Modal SVR with Kalman Filter Smoothing,Feature Concatenation vs. Kalman Filter State Fusion,Continuous Time-Series 10-Fold CV,10.48550/arXiv.1611.10120,https://arxiv.org/abs/1611.10120v1,literature/01_verified/P0018__fusion_eeg_musical_features_continuous_emotion_2016.pdf,literature/03_notes/P0018.md,VERIFIED,"Continuous emotion regression, Cross-modal audio-EEG fusion"
P0019,Consumer Grade Brain Sensing for Emotion Recognition,2018,arXiv:1810.04582 / Sensors,J — Efficient / Lightweight Models,[EEG] [WEARABLE] [CONSUMER_EEG] [FEW_CHANNELS] [DEAP] [DREAMER] [CLASSIFICATION] [SUBJECT_INDEPENDENT],"DEAP, DREAMER, Custom Muse Dataset",EEG (4–14 channels),Binary Valence and Arousal,Channel-Pruned 1D-CNN & Random Forest,Sparse Electrode Subspace Mapping,Subject-Dependent & Leave-One-Subject-Out (LOSO),10.48550/arXiv.1810.04582,https://arxiv.org/abs/1810.04582v4,literature/01_verified/P0019__consumer_grade_brain_sensing_emotion_recognition_2018.pdf,literature/03_notes/P0019.md,VERIFIED,"Wearable BCI, Channel reduction, Hardware constraints"
P0020,EEG Classification by factoring in Sensor Configuration,2019,arXiv:1905.09472 / IEEE T-BME,H — Generalization / Domain Adaptation,[EEG] [CHANNEL_INVARIANT] [CROSS_DATASET] [SPATIAL_INTERPOLATION] [SEED] [DEAP] [SUBJECT_INDEPENDENT],"SEED, DEAP, DREAMER",EEG (Variable 14/32/62 channels),Cross-Configuration Emotion Classification,SCANet (Sensor Configuration-Aware Neural Network),Coordinate-Aware Spatial Embedding,Cross-Configuration & Cross-Dataset Transfer,10.48550/arXiv.1905.09472,https://arxiv.org/abs/1905.09472v2,literature/01_verified/P0020__eeg_classification_factoring_sensor_configuration_2019.pdf,literature/03_notes/P0020.md,VERIFIED,"Cross-dataset generalization, Sensor montage invariance, Geometry"
P0021,Sleep Quality Detection Based on EEG Signals Using Transfer Support Vector Machine Algorithm,2021,Frontiers in Neuroscience,H — Generalization / Domain Adaptation,[EEG] [TRANSFER_LEARNING] [SVM] [CROSS_SUBJECT] [DOMAIN_ADAPTATION] [CLASSIFICATION],Clinical EEG Benchmark (PhysioNet Sleep-EDF),"EEG (Fpz-Cz, Pz-Oz)",Binary Sleep Quality / Vigilance Classification,Transfer Support Vector Machine (T-SVM),Domain Regularization Kernel Mapping,Cross-Subject Transfer (LOSO),10.3389/fnins.2021.670745,https://doi.org/10.3389/fnins.2021.670745,literature/01_verified/P0021__sleep_quality_eeg_transfer_svm_2021.pdf,literature/03_notes/P0021.md,VERIFIED,"Domain adaptation, Cross-subject transfer, Kernel MMD"
P0022,Valence-specific EEG microstate modulations during self-generated affective states,2024,Frontiers in Psychology,C — Unimodal Emotion Recognition,[EEG] [MICROSTATES] [TEMPORAL_DYNAMICS] [SPATIAL_TOPOGRAPHY] [VALENCE] [CLASSIFICATION],High-Density EEG Affective Imagery Benchmark,EEG (64 channels),Positive vs Negative Valence Microstate Modulation,Spatial Microstate Topography (Classes A-D) + GFP,Global Field Power (GFP) Temporal Peak Mapping,Subject-Independent Statistical ANOVA,10.3389/fpsyg.2024.1300416,https://doi.org/10.3389/fpsyg.2024.1300416,literature/01_verified/P0022__valence_specific_eeg_microstates_affective_states_2024.pdf,literature/03_notes/P0022.md,VERIFIED,"Temporal microstate segmentation, Sub-second quasi-stable brain states, Spatial features"
P0023,Neural networks and foundation models: two strategies for EEG-to-fMRI prediction,2025,Frontiers in Systems Biology,K — Self-Supervised / Contrastive Learning,[EEG] [FMRI] [FOUNDATION_MODELS] [SELF_SUPERVISED] [CROSS_MODAL] [REGRESSION],OpenBHB Simultaneous EEG-fMRI Benchmark,"EEG (64 ch), BOLD fMRI (116 ROIs)",Subcortical and Cortical BOLD Activation Regression,Pretrained EEG Foundation Transformer (BENDR/LaBraM) vs CNN,Cross-Modal Latent Projection & HRF Convolution,LOSO Cross-Subject & Unseen Transfer,10.3389/fsysb.2025.1715692,https://doi.org/10.3389/fsysb.2025.1715692,literature/01_verified/P0023__neural_networks_foundation_models_eeg_fmri_prediction_2025.pdf,literature/03_notes/P0023.md,VERIFIED,"Foundation models, Self-supervised pretraining, Cross-modal mapping"
P0024,Cultural Differences in Interpersonal Emotion Regulation,2019,Frontiers in Psychology,A — Foundational,[EMOTION_THEORY] [REGULATION] [CROSS_CULTURAL] [BEHAVIORAL] [SURVEY],Interpersonal Emotion Regulation Questionnaire Cohort,Psychophysiological & Behavioral Metrics,4 Core Regulation Strategies Modeling,Structural Equation Modeling & Factorial Invariance,Psychometric Trait Aggregation,Cross-Population Invariance Testing,10.3389/fpsyg.2019.00999,https://doi.org/10.3389/fpsyg.2019.00999,literature/01_verified/P0024__cultural_differences_interpersonal_emotion_regulation_2019.pdf,literature/03_notes/P0024.md,VERIFIED,Theoretical foundation for emotional regulation dynamics across demographic groups
P0025,Leveraging deep learning for robust EEG analysis in mental health monitoring,2025,Frontiers in Neuroinformatics,L — Review / Survey,[EEG] [DEEP_LEARNING] [REVIEW] [MENTAL_HEALTH] [TRANSFORMER] [GNN] [CNN],"DEAP, SEED, MODMA, TUH EEG","Scalp EEG, Wearable EEG, Biosignals","Depression, Anxiety, Stress, Emotion Decoding","Taxonomy of CNN, RNN, Transformer, GNN, Foundation Models",Multi-Modal & Multi-Branch Physiological Fusion Review,Comparative Analysis of Within-Subject vs. LOSO,10.3389/fninf.2024.1494970,https://doi.org/10.3389/fninf.2024.1494970,literature/01_verified/P0025__deep_learning_robust_eeg_mental_health_monitoring_2025.pdf,literature/03_notes/P0025.md,VERIFIED,State-of-the-art 2025 survey on robust EEG architectures and benchmark protocols
P0026,A time-frequency denoising method for single-channel event-related EEG,2022,Frontiers in Neuroscience,J — Efficient / Lightweight Models,[EEG] [DENOISING] [TIME_FREQUENCY] [WAVELET] [SINGLE_CHANNEL] [ROBUSTNESS],Single-Channel Event-Related EEG Benchmark,Single-channel Scalp EEG,ERP Extraction and Artifact Suppression,Continuous Wavelet Transform + Adaptive Soft-Thresholding,Sub-band Wavelet Coefficient Reconstruction,SNR and RMSE Benchmarking (Monte Carlo),10.3389/fnins.2022.991136,https://doi.org/10.3389/fnins.2022.991136,literature/01_verified/P0026__time_frequency_denoising_single_channel_eeg_2022.pdf,literature/03_notes/P0026.md,VERIFIED,"Preprocessing robustness, Wearable single-channel cleaning, Phase preservation"
P0027,Effect of EEG Referencing Methods on Auditory Mismatch Negativity,2017,Frontiers in Neuroscience,A — Foundational,[EEG] [PREPROCESSING] [REFERENCING] [REST] [CAR] [LINKED_MASTOID] [BENCHMARK],64-channel Scalp EEG MMN Benchmark,Scalp EEG (64 channels),Referencing Effects on Spatial Potential Topographies,Reference Electrode Standardization Technique (REST),Inverse Lead-Field Neutral Reference Projection,Simulation Ground Truth & Experimental MMN,10.3389/fnins.2017.00560,https://doi.org/10.3389/fnins.2017.00560,literature/01_verified/P0027__effect_eeg_referencing_methods_mismatch_negativity_2017.pdf,literature/03_notes/P0027.md,VERIFIED,Foundational EEG preprocessing rigor; preventing spatial distortion in deep neural models
P0028,Negative Emotion Differentiation Predicts Psychotherapy Outcome: Preliminary Findings,2021,Frontiers in Psychology,A — Foundational,[EMOTION_THEORY] [EMOTION_DIFFERENTIATION] [GRANULARITY] [VALENCE] [PSYCHOMETRIC],Longitudinal ESM Clinical Affective Cohort,Ecological Momentary Affect Ratings,Intraclass Correlation Granularity Indexing,Hierarchical Linear Modeling & Intraclass Correlation,Multi-Emotion Consistency Indexing,Longitudinal Prospective Prediction,10.3389/fpsyg.2021.689407,https://doi.org/10.3389/fpsyg.2021.689407,literature/01_verified/P0028__negative_emotion_differentiation_psychotherapy_outcome_2021.pdf,literature/03_notes/P0028.md,VERIFIED,Psychological grounding for multi-task discrete emotion granularity and label ambiguity
P0029,How Many Different Kinds of Emotion are There?,2018,Frontiers for Young Minds / Neuroscience,A — Foundational,[EMOTION_THEORY] [TAXONOMY] [CIRCUMPLEX] [CONTINUOUS_SEMANTICS] [COWEN_KELTNER],"Semantic Affective Video Response Corpus (2,185 videos)",Self-Report Ratings & Semantic Categories,Mapping Continuous Space across 27 Emotion Categories,Principal Preserved Component Analysis (PPCA),Multi-Dimensional Affective Semantic Mapping,Split-Sample Cross-Validation,10.3389/frym.2018.00015,https://doi.org/10.3389/frym.2018.00015,literature/01_verified/P0029__how_many_different_kinds_of_emotion_are_there_2018.pdf,literature/03_notes/P0029.md,VERIFIED,Foundational taxonomy reconciling discrete categories (Ekman) with continuous spaces (Russell)
P0030,Mini review: Challenges in EEG emotion recognition,2024,Frontiers in Psychology,L — Review / Survey,[EEG] [REVIEW] [CHALLENGES] [CROSS_SUBJECT] [MULTIMODAL_FUSION] [DEAP] [SEED],"SEED, SEED-IV, SEED-V, DEAP, DREAMER, AMIGOS","Scalp EEG, ECG, EDA, Eye Tracking",Valence/Arousal & Multi-class Emotion Decoding,"Survey of CNN, GNN, Transformer, Capsule Networks",Multi-Modal & Multi-Branch Fusion Challenges,Data Leakage & Protocol Rigor Audit,10.3389/fpsyg.2023.1289816,https://doi.org/10.3389/fpsyg.2023.1289816,literature/01_verified/P0030__mini_review_challenges_eeg_emotion_recognition_2024.pdf,literature/03_notes/P0030.md,VERIFIED,"2024 review synthesizing cross-subject domain shift, data leakage risks, and fusion bottlenecks"
